"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
20,"Grande Ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",5,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3)",450,"En physique, dans un magasin",5,"6","Non",2,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",21,1,450,120,218,0,0,1,1,4,"Entre 16 et 30",1,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3)",200,"En ligne",4,"3","Non",15,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes, néobanques, …)",16,4,30,100,203,0,0,1,1,4,"Entre 16 et 30",1,1,0,1,35000,35
22,"Commune de moins de 5000 habitants","Entre 0 et 500€",15,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3)",100,"En ligne",1,"5","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",12,2,20,50,320,0,1,1,1,4,"Entre 1 et 15",1,1,0,1,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3)",300,"En ligne et en physique",15,"3","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",3,2,15,175,1026,1,0,1,1,4,"Entre 1 et 15",1,1,0,1,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",3,"4","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",13,3,15,200,829,1,1,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
18,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",100,"En ligne et en physique",1,"2","Oui",20,1,"Carte Bancaire, sans contact",3,1,10,40,217,0,1,1,1,2,"Entre 1 et 15",1,0,0,0,35000,35
23,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",2,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",700,"En physique, dans un magasin",5,"4","Non",50,1,"Paiement Mobile (ApplePay, GooglePay, …)",5,1,20,200,1244,1,0,1,1,4,"Entre 1 et 15",0,1,0,0,12500,12.5
26,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1000,"En ligne et en physique",1,"3","Non",50,1,"Carte Bancaire, sans contact",2,1,10,50,1383,1,0,1,1,4,"Entre 1 et 15",1,0,0,0,35000,35
22,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",800,"En ligne et en physique",5,"4","Non",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",41,2,10,100,1878,1,0,1,1,4,"Entre 31 et 45",1,1,0,0,1500000,1500
23,"Commune de moins de 5000 habitants","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En physique, dans un magasin",10,"15","Non",100,0,NA,0,0,17,300,1959,0,0,0,1,4,"0",0,0,0,0,2500,2.5
22,"Très grande ville (+ de 200 000 habitants)","Entre 0 et 500€",20,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",80,"En physique, dans un magasin",3,"6","Non",50,1,"Carte Bancaire, sans contact",7,1,15,50,290,0,0,1,1,4,"Entre 1 et 15",1,0,0,0,1500000,1500
21,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 0 et 500€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",120,"En physique, dans un magasin",1,"2","Oui",50,1,"Carte Bancaire, sans contact",8,1,40,40,427,1,1,1,1,4,"Entre 1 et 15",1,0,0,0,12500,12.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",300,"En ligne et en physique",5,"5","Non",30,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",3,1,15,50,626,1,0,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
20,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",10,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",100,"En ligne et en physique",1,"2","Non",30,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",2,2,10,60,392,1,0,1,1,4,"Entre 1 et 15",1,0,0,1,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",30,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",70,"En ligne et en physique",6,"3","Oui",10,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",6,1,2,20,393,1,1,1,1,4,"Entre 1 et 15",1,1,0,0,35000,35
21,"Commune de moins de 5000 habitants","Entre 0 et 500€",12,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",150,"En physique, dans un magasin",3,"6","Oui",300,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",22,3,65,100,363,1,1,1,1,4,"Entre 16 et 30",1,1,0,0,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",30,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",100,"En ligne et en physique",2,"6","Non",120,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",23,3,7,100,465,0,0,1,1,4,"Entre 16 et 30",1,1,0,1,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",300,"En ligne et en physique",2,"6","Non",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",2,2,30,300,1093,1,0,1,1,4,"Entre 1 et 15",1,1,0,1,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",150,"En ligne",1,"6","Non",3,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",16,1,2,50,465,0,0,1,1,4,"Entre 16 et 30",1,1,0,0,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",45,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",700,"En ligne et en physique",20,"5","Oui",300,1,"Carte Bancaire, sans contact",19,3,30,100,2017,1,1,1,1,2,"Entre 16 et 30",1,0,0,0,35000,35
22,"Commune de moins de 5000 habitants","Entre 0 et 500€",15,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",100,"En ligne",1,"5","Oui",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",7,2,20,30,361,0,1,1,1,4,"Entre 1 et 15",1,1,0,1,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",350,"En ligne",4,"4","Non",60,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",20,2,30,200,1406,0,0,1,1,4,"Entre 16 et 30",1,1,0,0,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",35,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 5 (BAC+2)",200,"En physique, dans un magasin",5,"4","Non",30,1,"Carte Bancaire, sans contact",52,3,50,30,340,1,0,1,1,3,"45 et +",1,0,0,0,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",15,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En physique, dans un magasin",3,"10","Non",50,1,"Carte Bancaire, sans contact",12,1,20,150,452,1,0,1,1,4,"Entre 1 et 15",1,0,0,0,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",10,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En ligne et en physique",1,"12","Non",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",29,2,15,200,782,0,0,1,1,4,"Entre 16 et 30",1,1,0,1,35000,35
22,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne",1,"15","Non",200,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",9,2,15,100,1080,0,0,1,1,4,"Entre 1 et 15",1,0,0,1,12500,12.5
20,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",500,"En physique, dans un magasin",3,"7","Oui",30,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",56,3,20,400,1646,0,1,1,1,2,"45 et +",1,1,0,1,12500,12.5
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",10,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",350,"En ligne et en physique",1,"12","Oui",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",32,2,35,200,306,1,1,1,1,3,"Entre 31 et 45",1,1,0,0,1500000,1500
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",8,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",300,"En ligne et en physique",1,"2","Non",200,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",7,2,25,250,1190,0,0,1,1,2,"Entre 1 et 15",1,1,0,1,35000,35
22,"Petite ville (entre 5 000 et 19 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",500,"En physique, dans un magasin",2,"15","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",13,1,20,400,1989,0,0,1,1,3,"Entre 1 et 15",1,1,0,0,12500,12.5
22,"Commune de moins de 5000 habitants","Entre 1001 et 1500€",25,"Revenus du travail","Non",NA,800,"En ligne et en physique",4,"10","Oui",200,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",56,1,10,200,1061,0,1,1,0,0,"45 et +",1,1,0,0,2500,2.5
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",10,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",800,"En ligne",3,"4","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",27,3,30,500,1812,0,0,1,1,3,"Entre 16 et 30",1,1,0,1,35000,35
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",600,"En ligne et en physique",1,"5","Non",200,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",54,4,20,450,572,1,0,1,1,4,"45 et +",1,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",300,"En ligne et en physique",3,"5","Non",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",22,2,20,170,830,1,0,1,1,2,"Entre 16 et 30",1,1,0,0,35000,35
21,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",2,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",80,"En ligne et en physique",2,"2","Non",30,1,"Carte Bancaire, sans contact",7,1,30,70,1139,0,0,1,1,2,"Entre 1 et 15",1,0,0,0,12500,12.5
20,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",20,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",150,"En ligne et en physique",2,"6","Non",100,1,"Paiement Mobile (ApplePay, GooglePay, …)",14,1,15,50,393,0,0,1,1,3,"Entre 1 et 15",0,1,0,0,35000,35
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",250,"En physique, dans un magasin",1,"3","Oui",40,0,NA,0,0,15,25,380,1,1,0,1,4,"0",0,0,0,0,35000,35
20,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",3,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",350,"En ligne",2,"2","Oui",400,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",22,2,25,80,557,1,1,1,1,2,"Entre 16 et 30",1,1,0,0,35000,35
18,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 0 et 500€",3,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",800,"En ligne et en physique",4,"5","Non",40,1,"Paiement Mobile (ApplePay, GooglePay, …)",26,1,15,200,350,1,0,1,1,2,"Entre 16 et 30",0,1,0,0,1500000,1500
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",5,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",700,"En ligne et en physique",10,"4","Oui",50,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",3,2,25,200,979,0,1,1,1,3,"Entre 1 et 15",1,0,0,1,35000,35
20,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",5,"Revenus de redistribution (bourses, allocations, …)","Non",NA,500,"En physique, dans un magasin",3,"5","Non",20,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",18,2,200,200,1160,0,0,1,0,0,"Entre 16 et 30",1,1,0,0,12500,12.5
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 501 et 1000€",30,"Revenus du travail","Non",NA,600,"En ligne et en physique",1,"4","Non",300,0,NA,0,0,400,400,706,1,0,0,0,0,"0",0,0,0,0,1500000,1500
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",3,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 6 (BAC+3/4)",65,"En ligne",2,"2","Non",15,1,"Carte Bancaire, sans contact",14,1,15,30,400,0,0,1,1,4,"Entre 1 et 15",1,0,0,0,35000,35
25,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",15,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",1500,"En physique, dans un magasin",2,"10","Non",100,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",23,2,10,400,1736,0,0,1,1,5,"Entre 16 et 30",1,1,0,0,1500000,1500
22,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 1001 et 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",1100,"En physique, dans un magasin",3,"4","Non",80,1,"Carte Bancaire, sans contact",4,2,25,100,1213,1,0,1,1,4,"Entre 1 et 15",1,0,0,0,12500,12.5
27,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 1001 et 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 3 (CAP ou BEP)",2000,"En ligne et en physique",2,"20","Non",250,1,"Paiement Mobile (ApplePay, GooglePay, …)",3,2,50,200,1321,0,0,1,1,1,"Entre 1 et 15",0,1,0,0,1500000,1500
25,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",20,"Revenus du capital (loyers, placements, …)","Oui","Diplôme de niveau 4 (Baccalauréat)",1400,"En physique, dans un magasin",30,"4","Non",120,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",23,3,25,150,2394,0,0,1,1,2,"Entre 16 et 30",1,0,0,1,1500000,1500
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",10,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En ligne et en physique",10,"10","Non",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …), QR code",37,4,10,300,638,0,0,1,1,4,"Entre 31 et 45",1,1,1,1,35000,35
20,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",5,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",50,"En physique, dans un magasin",4,"2","Oui",70,1,"Paiement Mobile (ApplePay, GooglePay, …)",9,1,5,30,383,1,1,1,1,2,"Entre 1 et 15",0,1,0,0,35000,35
20,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",40,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",500,"En ligne et en physique",3,"5","Non",35,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",31,1,7,70,235,0,0,1,1,4,"Entre 31 et 45",1,1,0,0,35000,35
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",3,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne",2,"2","Oui",40,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",56,1,15,100,957,1,1,1,1,4,"45 et +",1,1,0,0,35000,35
